source,permit_id,permit_number,permit_type,issued_date,contractor_raw,contact_email,contact_phone,source_contact_name,address,city,county,zip,state,work_description,valuation,permit_link,dirt_volume
EPA ECHO (TX),ECHO_TXR1510YX,TXR1510YX,Construction Stormwater NOI (1+ acre),2026-08-01,"Yc Partners, LLC",,,,APPROXIMATELY 0.16 MI NORTH OF THE INTERSECTION OF,"SAN ANTONIO, TX",TX029,78255,TX,Site: GUAJOLOTE RANCH - LAND DEVELOPMENT,,,
EPA ECHO (TX),ECHO_TXR1572YZ,TXR1572YZ,Construction Stormwater NOI (1+ acre),2026-08-01,Lubbock County,,,,916 MAIN STREET,"LUBBOCK, TX",TX303,79423,TX,Site: WOODROW ROAD PHASE 2,,,
EPA ECHO (TX),ECHO_TXR1528YT,TXR1528YT,Construction Stormwater NOI (1+ acre),2026-08-01,"7 Site & Utility, LLC",,,,SITE ENTRANCE IS LOCATED APPROX. 525 FT SOUTHWEST,"SCHERTZ, TX",TX029,78154,TX,Site: ACKERMANN II SUBDIVISION,,,
EPA ECHO (TX),ECHO_TXR1554YW,TXR1554YW,Construction Stormwater NOI (1+ acre),2026-08-01,"Mhcdv1 Mckinney, LLC",,,,6105 E MCKINNEY ST,"DENTON, TX",TX121,76208,TX,Site: WOODLANDS AT MCKINNEY,,,
EPA ECHO (TX),ECHO_TXR1553YU,TXR1553YU,Construction Stormwater NOI (1+ acre),2026-08-01,"Brownstone Construction, Ltd.",,,,201 HEADWATERS BLVD,"DRIPPING SPRINGS, TX",TX453,78620,TX,Site: DDC HEADWATERS LAND,,,
EPA ECHO (TX),ECHO_TXR1559YV,TXR1559YV,Construction Stormwater NOI (1+ acre),2026-08-01,"Double Oak Construction, Inc.",,,,NE CORNER OF SMITH ROAD AND MORNING CLOCK WAY,"HUFFMAN, TX",TX201,77336,TX,Site: WOODLAND LAKES SOUTH DETENTION POND,,,
EPA ECHO (TX),ECHO_TXR1512YV,TXR1512YV,Construction Stormwater NOI (1+ acre),2026-08-01,"Icon Gc, LLC",,,,CENTER STREET AND THOMAS AVENUE NORTH ALONG CENTER,"PASADENA, TX",TX201,77506,TX,Site: CENTER STREET S148,,,
EPA ECHO (TX),ECHO_TXR1515YX,TXR1515YX,Construction Stormwater NOI (1+ acre),2026-08-01,"Kittle Property Group, Inc.",,,,10563 SCHAENFIELD ROAD,"SAN ANTONIO, TX",TX029,78254,TX,Site: CACTUS TRAIL APARTMENTS,,,
EPA ECHO (TX),ECHO_TXR1598YV,TXR1598YV,Construction Stormwater NOI (1+ acre),2026-08-01,"Indigo Construction, LLC",,,,SOUTHEAST OF THE INTERSECTION OF COCOON CROSSING A,"SAN ANTONIO, TX",TX029,78083,TX,Site: TMM SOMERSET UNIT 4,,,
EPA ECHO (TX),ECHO_TXR1595YX,TXR1595YX,Construction Stormwater NOI (1+ acre),2026-08-01,Ckf Construction Services LLC,,,,S. OF MANSFIELD WEBB RD. AND RUTLAND DR.,"ARLINGTON, TX",TX439,76002,TX,Site: VILLAS OF WEBB,,,
EPA ECHO (TX),ECHO_TXR1502YU,TXR1502YU,Construction Stormwater NOI (1+ acre),2026-08-01,"Rowland Mccrory Construction, LLC",,,,525 S PLAZA AVE,"BIG LAKE, TX",TX383,76932,TX,Site: AEP BIG LAKE - MICROSITE,,,
EPA ECHO (TX),ECHO_TXR1540YY,TXR1540YY,Construction Stormwater NOI (1+ acre),2026-08-01,Atmos Energy Corporation,,,,NORTHWEST OF FM3349 & FM1660,"HUTTO, TX",TX491,76574,TX,Site: HALCYON ONSITE PHS 1A,,,
EPA ECHO (TX),ECHO_TXR1599YU,TXR1599YU,Construction Stormwater NOI (1+ acre),2026-08-01,Hunt Development LLC,,,,NE OF ARTESIAN MEADOWS & KINGSTON CROSSING,"BULLARD, TX",TX423,75757,TX,Site: VINTAGE ESTATES,,,
EPA ECHO (TX),ECHO_TXR1588YW,TXR1588YW,Construction Stormwater NOI (1+ acre),2026-08-01,"V. K. Knowlton Construction and Utilities, Inc.",,,,WEST OF FORTUNA STREET/NW 36TH STREET INTERSECTION,"SAN ANTONIO, TX",TX029,78237,TX,Site: FORTUNA SUBDIVISION,,,
EPA ECHO (TX),ECHO_TXR1550YT,TXR1550YT,Construction Stormwater NOI (1+ acre),2026-08-01,"Mike Becknal & Co., Inc.",,,,4020 139TH ST,"LUBBOCK, TX",TX303,79423,TX,Site: MIKE BECKNAL & CO INC ESTATES AT KELSEY PARK,,,
EPA ECHO (TX),ECHO_TXR1561YZ,TXR1561YZ,Construction Stormwater NOI (1+ acre),2026-08-01,"The Fain Group, LLC",,,,EAST BROAD STREET FROM MANSFIELD HIGH SCHOOL TO N,"MANSFIELD, TX",TX439,76063,TX,Site: EAST BROAD STREET IMPROVEMENTS,,,
EPA ECHO (TX),ECHO_TXR1509YX,TXR1509YX,Construction Stormwater NOI (1+ acre),2026-08-01,Chris Harp Construction Limited Liability Company,,,,NORTHWEST OF WEST COTTAGE HILL PARKWAY & DELANO CO,"CELINA, TX",TX085,75009,TX,Site: DEER CREEK,,,
EPA ECHO (TX),ECHO_TXR1542YW,TXR1542YW,Construction Stormwater NOI (1+ acre),2026-08-01,Drees Custom Homes L.P.,,,,SOUTHWEST OF BERDOLL LOOP & STATE HIGHWAY 71,"CEDAR CREEK, TX",TX021,78612,TX,Site: SILVERLEAF PH 6,,,
EPA ECHO (TX),ECHO_TXR1509YW,TXR1509YW,Construction Stormwater NOI (1+ acre),2026-08-01,S&W Construction Partners LP,,,,INTERSECTION OF HWY 59 & HWY 236,"QUEEN CITY, TX",TX067,75572,TX,Site: RACETRAC QUEEN CITY,,,
EPA ECHO (TX),ECHO_TXR1552YT,TXR1552YT,Construction Stormwater NOI (1+ acre),2026-08-01,"Insight Builders, LLC",,,,14715 MONRAD DR,"HOUSTON, TX",TX201,77053,TX,Site: NEW FAITH SENIOR VILLAGE,,,
EPA ECHO (TX),ECHO_TXR1538YV,TXR1538YV,Construction Stormwater NOI (1+ acre),2026-08-01,"LGI HOMES-TEXAS, LLC",,,,NORTH OF BIG SKY BOULEVARD & WHITE WOLF TRAIL,"PONDER, TX",TX121,76259,TX,Site: BIG SKY ESTATES PH 3A,,,
EPA ECHO (TX),ECHO_TXR1512YT,TXR1512YT,Construction Stormwater NOI (1+ acre),2026-08-01,"W.T. Byler Co., LLC",,,,2849 OLD DOBBIN RD,"MONTGOMERY, TX",TX339,77316,TX,Site: BNSF DOBBIN CONNECTOR,,,
EPA ECHO (TX),ECHO_TXR1517YV,TXR1517YV,Construction Stormwater NOI (1+ acre),2026-08-01,Drake General Contractors Llc,,,,ON FM 1251 FROM CR 394 TO PANOLA COUNTY LINE,"HENDERSON, TX",TX401,75653,TX,Site: FM 1251 CSJ 1388-01-010,,,
EPA ECHO (TX),ECHO_TXR1526YV,TXR1526YV,Construction Stormwater NOI (1+ acre),2026-08-01,Durwood Greene Construction,,,,JOB IS LOCATED IN BETWEEN TIMBER FOREST BLVD AND C,"HOUSTON, TX",TX201,77044,TX,Site: GENERATION PARK E SECTION 1 & 3,,,
EPA ECHO (TX),ECHO_TXR1541YX,TXR1541YX,Construction Stormwater NOI (1+ acre),2026-08-01,"Vericon Construction Company, LLC",,,,ROSAMOND CROSSING SOUTHEAST CORNER ADDITION BLACK,"ANNA, TX",TX085,75071,TX,Site: BANK OF AMERICA ANNA TEXAS,,,
EPA ECHO (TX),ECHO_TXR1530YT,TXR1530YT,Construction Stormwater NOI (1+ acre),2026-08-01,Ya Baby LLC,,,,ON LOWER SEGUIN ROAD JUST WEST OF CIBOLO CREEK,"SCHERTZ, TX",TX029,78154,TX,Site: JUDAH RANCH PHASE 1 MASS GRADING,,,
EPA ECHO (TX),ECHO_TXR1582YZ,TXR1582YZ,Construction Stormwater NOI (1+ acre),2026-08-01,"Meritage Homes of Texas, LLC",,,,WEST OF LAKE RIDGE PARKWAY & HIGHWAY 67,"CEDAR HILL, TX",TX139,75104,TX,Site: BALCONES RANCH PH 2,,,
EPA ECHO (TX),ECHO_TXR1558YY,TXR1558YY,Construction Stormwater NOI (1+ acre),2026-08-01,"Tim Jackson Construction Co., Inc.",,,,NORTH OF THE INTERSECTION OF FERRIS ROAD AND JIMMI,"FERRIS, TX",TX139,75125,TX,Site: LEE LONGINO ELEMENTARY SCHOOL,,,
EPA ECHO (TX),ECHO_TXR1585YU,TXR1585YU,Construction Stormwater NOI (1+ acre),2026-08-01,"Nash Industries, Inc.",,,,9001 COCHRANS CROSSING DR,"SPRING, TX",TX339,77381,TX,Site: CONROE ISD GALATAS ELEMENTARY GYM ADDITION,,,
EPA ECHO (TX),ECHO_TXR1557YV,TXR1557YV,Construction Stormwater NOI (1+ acre),2026-08-01,Atmos Energy Corporation,,,,SOUTHEAST OF COUNTY RD 258 & RIQUEZA WY,"LIBERTY HILL, TX",TX491,78642,TX,Site: SADDLEBACK PHS 2 SEC 2,,,
EPA ECHO (TX),ECHO_TXR1504YW,TXR1504YW,Construction Stormwater NOI (1+ acre),2026-08-01,Tiger Star Construction Corporation,,,,5000 IH 10,"SEALY, TX",TX015,77474-9506,TX,Site: FIVE STAR PROPERTIES SEALY,,,
EPA ECHO (TX),ECHO_TXR1577YV,TXR1577YV,Construction Stormwater NOI (1+ acre),2026-08-01,"Meritage Homes of Texas, LLC",,,,LOCATED NORTH OF THE INTERSECTION OF BRIDGEWATER S,"WEIR, TX",TX491,78674,TX,Site: THE VANTAGE PHASE 4,,,
EPA ECHO (TX),ECHO_TXR1583YT,TXR1583YT,Construction Stormwater NOI (1+ acre),2026-08-01,City Public Service Energy,,,,SE OF SCHUWIRTH RD & E LOOP 1604 N,"SAN ANTONIO, TX",TX029,78109,TX,Site: CHASIN HEIGHTS UNIT 10,,,
EPA ECHO (TX),ECHO_TXR1535YX,TXR1535YX,Construction Stormwater NOI (1+ acre),2026-08-01,"Deal-2-Deal, LLC",,,,HEAD EAST ON I-10 TO EXIT 11 MESA ST. TURN RIGHT O,"EL PASO, TX",TX141,79911,TX,Site: CIMARRON CANYON UNITS 2 3 5 6 7 & 9,,,
EPA ECHO (TX),ECHO_TXR1582YX,TXR1582YX,Construction Stormwater NOI (1+ acre),2026-08-01,Chris Harp Construction Limited Liability Company,,,,S SIDE FM 2862 4150FT EAST OF CR425,"ANNA, TX",TX085,75409,TX,Site: PAVING OPERATIONS FOR SHERLEY FARMS PH 1A 1B 1C,,,
EPA ECHO (TX),ECHO_TXR1541YV,TXR1541YV,Construction Stormwater NOI (1+ acre),2026-08-01,"D.R. Horton - Texas, Ltd.",,,,APPROX. 325 FEET NORTHWEST FROM THE INTERSECTION O,"MISSOURI CITY, TX",TX157,77459,TX,Site: LEXINGTON VILLAGE,,,
EPA ECHO (TX),ECHO_TXR1522YW,TXR1522YW,Construction Stormwater NOI (1+ acre),2026-08-01,"Stephen F. Austin Homes, LLC",,,,W OF HONEA-EGYPT RD & GRAND LAKE ESTATES DRIVE,"MONTGOMERY, TX",TX339,77316,TX,Site: GRAND LAKE ESTATES - HOME BUILDING,,,
